Name,Languages,VCS,Repository,Paths
AiiDA,Python,Git,https://github.com/aiidateam/aiida_core/,aiida
Airavata,C++/Java,Git,https://github.com/apache/airavata.git,
Amuse,Python,Git,https://github.com/amusecode/amuse.git,
Arcos-Amanzi,C/C++/Fortran,Git,https://github.com/amanzi/amanzi.git,
Cactus,C/C++/Fortran,Git,https://bitbucket.org/cactuscode/utilities/raw/Cactus_4.3.0/ThornLists/Cactus_4.3.0.th,https://raw.github.com/gridaphobe/CRL/Cactus_4.3.0/GetComponents
Deal.II,C++,Git,https://github.com/dealii/dealii.git,
DTK,C++,Git,https://github.com/ORNL-CEES/DataTransferKit.git,
DuMuX,C++,Git,https://git.iws.uni-stuttgart.de/dumux-repositories/dumux.git,
FEniCS,Python,Git,https://bitbucket.org/fenics-project/dolfin.git,
FireWorks,Python,Git,https://github.com/materialsproject/fireworks.git,
FLASH,C,Custom,http://flash.uchicago.edu/site/flashcode/,
FreeFem++,C++,Mercurial,http://www.freefem.org/ff++/ff++,
Galaxy,Python,Git,https://github.com/galaxyproject/galaxy/,
IPS,Python,Subversion,http://svn.code.sf.net/p/ipsframework/code/trunk,
Kepler,Java,Subversion,https://code.kepler-project.org/code/kepler/releases/release-branches/build-area-2.4,
Kratos,C++,Subversion,https://svn.cimne.upc.edu/p/kratos/kratos,
LAMMPS,C++,Git,https://github.com/lammps/lammps.git,
libMesh,C++,Git,https://github.com/libMesh/libmesh.git,
MUSCLE2,C++/Java/MATLAB/Python/Ruby,Git,https://github.com/psnc-apps/muscle2,
MCT,Fortran,Git,https://github.com/MCSclimate/MCT.git,
MOOSE,C++,Git,https://github.com/idaholab/moose.git,
MuPIF,Python,Git,https://github.com/mupif/mupif,
OpenFOAM,C++,Git,https://github.com/OpenFOAM/OpenFOAM-dev.git,
OpenMI,C++/C#/Java,Zip,http://downloads.sourceforge.net/project/openmi/Version_2.0.0.0/Standard_2.0.0.0.zip,
OpenPALM,C,Custom,http://www.cerfacs.fr/globc/PALM_WEB/user.html,
Pegasus,Python/Java/C,Git,https://github.com/pegasus-isi/pegasus.git,
PETSc,C,Git,https://bitbucket.org/petsc/petsc.git,
Precice,C++,Git,https://github.com/precice/precice,
PyMOOSE,C++/Python,Git,https://github.com/BhallaLab/moose.git,
Snakemake,Python,Git,https://bitbucket.org/snakemake/snakemake.git,
Swift-k,C/Java,Git,https://github.com/swift-lang/swift-k.git,
Swift-t,C/Java,Git,https://github.com/swift-lang/swift-t.git,
Trilinos,C++,Git,https://github.com/trilinos/Trilinos.git,
Uintah,C++,Tar,http://www.sci.utah.edu/releases/uintah_v1.6.0/Uintah_1.6.0.tar.gz,
waLBerla,C++/Python,Git,https://i10git.cs.fau.de/walberla/walberla.git,